officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Parbung B.O,795143,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Thanlon S.O,Imphal H.O,NA,NA
Patpuimun B.O,795116,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Jiribam Bazar S.O,Imphal H.O,NA,NA
Patsoi Part II B.O,795113,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,CRPF Camp Langjing S.O,Imphal H.O,NA,NA
Pearsonmun B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Persian B.O,795122,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Kalapahar S.O,Imphal H.O,NA,NA
Pfukhro B.O,795150,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Mao S.O,Imphal H.O,NA,NA
Phadang B.O,795144,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Somdal S.O,Imphal H.O,NA,NA
Phaibok Mullen B.O,795116,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Jiribam Bazar S.O,Imphal H.O,NA,NA
Phaibung Khullen B.O,795104,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Tadubi S.O,Imphal H.O,NA,NA
Phaijang B.O,795143,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Thanlon S.O,Imphal H.O,NA,NA
Phaikon B.O,795118,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Saikul S.O,Imphal H.O,NA,NA
Phaipheng B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Phaknung B.O,795010,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Lamlong S.O,Imphal H.O,NA,NA
Phayeng B.O,795146,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Lamsang S.O,Imphal H.O,NA,NA
Pherazol B.O,795143,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Thanlon S.O,Imphal H.O,NA,NA
Phiran Machet B.O,795102,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Chakpikarong S.O,Imphal H.O,NA,NA
Phoubakchao B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O,NA,NA
Phoudel B.O,795138,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Thoubal S.O,Imphal H.O,NA,NA
Phouoibi B.O,795149,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Yairipok S.O,Imphal H.O,NA,NA
Phousabung B.O,795133,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Moirang S.O,Imphal H.O,NA,NA
Phuba B.O,795015,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Maram S.O,Imphal H.O,NA,NA
Phubala B.O,795126,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Bishnupur S.O (Bishnupur),Imphal H.O,NA,NA
Phunalmaring B.O,795130,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Lilong S.O,Imphal H.O,NA,NA
Phunanamei B.O,795150,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Mao S.O,Imphal H.O,NA,NA
Phundrei B.O,795148,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Wangjing S.O,Imphal H.O,NA,NA
Phungcham B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Phungyar B.O,795145,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Litan S.O,Imphal H.O,NA,NA
Pmzol B.O,795143,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Thanlon S.O,Imphal H.O,NA,NA
Pngaei Yangdong S.O,795114,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,0385-2450652,NA,Imphal H.O,NA,NA
Poii B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Poirou Khongjil B.O,795138,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Thoubal S.O,Imphal H.O,NA,NA
Ponlian B.O,795146,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Lamsang S.O,Imphal H.O,NA,NA
Porompat S.O,795005,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,0385-2450652,NA,Imphal H.O,NA,NA
Potsangbam B.O,795126,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Bishnupur S.O (Bishnupur),Imphal H.O,NA,NA
Potsangbam Khoirou B.O,795136,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Sekmai S.O,Imphal H.O,NA,NA
Pudunamei B.O,795150,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Mao S.O,Imphal H.O,NA,NA
Pukhao Ahallup B.O,795114,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Pngaei Yangdong S.O,Imphal H.O,NA,NA
Pukhrambam B.O,795134,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Nambol S.O,Imphal H.O,NA,NA
Puleilokpi B.O,795148,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Wangjing S.O,Imphal H.O,NA,NA
Purul B.O,795015,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Maram S.O,Imphal H.O,NA,NA
Purum Pantha B.O,795103,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Kakching S.O,Imphal H.O,NA,NA
Pushing B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Rajai Khunou B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Rajamei B.O,795007,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Karong S.O,Imphal H.O,NA,NA
Rengpang B.O,795147,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,Nungba S.O,Imphal H.O,NA,NA
S.Bolkot B.O,795107,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Motbung S.O,Imphal H.O,NA,NA
Sabaltongba B.O,795138,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Thoubal S.O,Imphal H.O,NA,NA
Sadukhoiroi B.O,795124,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Loktak Project S.O,Imphal H.O,NA,NA
Sagang B.O,795133,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Moirang S.O,Imphal H.O,NA,NA
Sagolband Thingom Leikai B.O,795004,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Lamphelpat S.O,Imphal H.O,NA,NA
Sagolmang B.O,795114,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Pngaei Yangdong S.O,Imphal H.O,NA,NA
Sagoltongba Bazar B.O,795113,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,CRPF Camp Langjing S.O,Imphal H.O,NA,NA
Saibhom B.O,795135,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Pallel S.O,Imphal H.O,NA,NA
Saiden B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Saikhul Village B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O,NA,NA
Saikot S.O,795117,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,0385-2450652,NA,Imphal H.O,NA,NA
Saikul S.O,795118,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,0385-2450652,NA,Imphal H.O,NA,NA
Saiton B.O,795133,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Moirang S.O,Imphal H.O,NA,NA
Saitu B.O,795107,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Motbung S.O,Imphal H.O,NA,NA
Sajik Tampak B.O,795102,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Chakpikarong S.O,Imphal H.O,NA,NA
Salungpham B.O,795148,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Wangjing S.O,Imphal H.O,NA,NA
Samaram B.O,795148,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Wangjing S.O,Imphal H.O,NA,NA
