officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Dengapadar B.O,761054,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Ballipada S.O,Berhampur(GM) H.O,NA,NA
Devadala B.O,761208,B.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,NA,Kharada S.O,Parlakhemundi H.O,NA,NA
Dhadhiambo B.O,761017,B.O,Delivery,Berhampur,Berhampur,Odisha,Mohana,Gajapati,ODISHA,NA,Chandragiri S.O,Parlakhemundi H.O,NA,NA
Dhobadipatapur B.O,761003,B.O,Delivery,Berhampur,Berhampur,Odisha,Purusottampur,Ganjam,ODISHA,NA,Bhatakumarada S.O,Chatrapur H.O,NA,NA
Digapada B.O,761032,B.O,Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,NA,Kodala S.O,Chatrapur H.O,NA,NA
Digapahandi S.O,761012,S.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,06814-247323,NA,Berhampur(GM) H.O,NA,NA
Digapahandi Tahasil Colony S.O,761012,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,06814-247324,NA,Berhampur(GM) H.O,NA,NA
Dimiria B.O,761028,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Rambha S.O,Chatrapur H.O,NA,NA
Dura B.O,760010,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Engineering School S.O,Berhampur(GM) H.O,NA,NA
Engarsingi B.O,761212,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Narayanapur S.O (Gajapati),Parlakhemundi H.O,NA,NA
Engineering School S.O,760010,S.O,Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2291321,NA,Berhampur(GM) H.O,NA,NA
Gadasamantarapur B.O,761055,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Bissmagiri S.O,Berhampur(GM) H.O,NA,NA
Gaiba B.O,761208,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Kharada S.O,Parlakhemundi H.O,NA,NA
Gandhinagar S.O (Ganjam),760001,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2223530,NA,Berhampur(GM) H.O,NA,NA
Gangabad B.O,761212,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Narayanapur S.O (Gajapati),Parlakhemundi H.O,NA,NA
Ganjam S.O,761026,S.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,06811-254158,NA,Chatrapur H.O,NA,NA
Ganju B.O,761002,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Gopalpur S.O (Ganjam),Berhampur(GM) H.O,NA,NA
Garabandha S.O,761215,S.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,06815-283734,NA,Parlakhemundi H.O,NA,NA
Gatebazar S.O,760001,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2223221,NA,Berhampur(GM) H.O,NA,NA
Gayaljuba B.O,761212,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Narayanapur S.O (Gajapati),Parlakhemundi H.O,NA,NA
Girisola S.O,761009,S.O,Delivery,Berhampur,Berhampur,Odisha,Girisola,Ganjam,ODISHA,0680-2244421,NA,Berhampur(GM) H.O,NA,NA
Gnagadahani B.O,761018,B.O,Delivery,Berhampur,Berhampur,Odisha,Purushottampur,Ganjam,ODISHA,NA,Purushottampur S.O,Chatrapur H.O,NA,NA
Gochabadi B.O,761105,B.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,NA,Polosara S.O,Chatrapur H.O,NA,NA
Godagovindapur B.O,761011,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Nuapada S.O,Berhampur(GM) H.O,NA,NA
Godavarishanagar S.O,760001,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2203383,NA,Berhampur(GM) H.O,NA,NA
Goilundi S.O,760004,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2281727,NA,Berhampur(GM) H.O,NA,NA
Gokarnapur B.O,761012,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Digapahandi S.O,Berhampur(GM) H.O,NA,NA
Golabandha S.O,761052,S.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,0680-2242059,NA,Berhampur(GM) H.O,NA,NA
Golagandapalli B.O,761028,B.O,Delivery,Berhampur,Berhampur,Odisha,Rambha,Ganjam,ODISHA,NA,Rambha S.O,Chatrapur H.O,NA,NA
Golanda B.O,761007,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Padmanavapur S.O,Berhampur(GM) H.O,NA,NA
Golanthara S.O,761008,S.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,0680-2492336,NA,Berhampur(GM) H.O,NA,NA
Gondahati B.O,761215,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Garabandha S.O,Parlakhemundi H.O,NA,NA
Gondala B.O,761003,B.O,Delivery,Berhampur,Berhampur,Odisha,Purushottampur,Ganjam,ODISHA,NA,Bhatakumarada S.O,Chatrapur H.O,NA,NA
Gopalpur S.O (Ganjam),761002,S.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,0680-2242044,NA,Berhampur(GM) H.O,NA,NA
Gopinathpur B.O,761009,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Girisola S.O,Berhampur(GM) H.O,NA,NA
Gopinathpur B.O,761100,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Kukudakhandi S.O,Berhampur(GM) H.O,NA,NA
Goppilli Rampa B.O,761215,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Garabandha S.O,Parlakhemundi H.O,NA,NA
Goribandha B.O,761206,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralkhemundi,Gajapati,ODISHA,NA,Kashinagar S.O (Gajapati),Parlakhemundi H.O,NA,NA
Gosani B.O,761210,B.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,NA,Gurandi S.O,Parlakhemundi H.O,NA,NA
Gosaninuagam S.O,760003,S.O,Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2401021,NA,Berhampur(GM) H.O,NA,NA
Gothagam B.O,761037,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Surangi S.O,Berhampur(GM) H.O,NA,NA
Goudagam B.O,761011,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Nuapada S.O,Berhampur(GM) H.O,NA,NA
Gouradeipur B.O,761032,B.O,Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,NA,Kodala S.O,Chatrapur H.O,NA,NA
Goutami B.O,761054,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Ballipada S.O,Berhampur(GM) H.O,NA,NA
Govindanagar B.O,761008,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Golanthara S.O,Berhampur(GM) H.O,NA,NA
Gudipadar B.O,761006,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Jayantipur S.O,Berhampur(GM) H.O,NA,NA
Guhalpur B.O,761007,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Padmanavapur S.O,Berhampur(GM) H.O,NA,NA
Gulli B.O,761214,B.O,Delivery,Berhampur,Berhampur,Odisha,R.udayagiri,Gajapati,ODISHA,NA,Nuagada S.O,Parlakhemundi H.O,NA,NA
Guluba B.O,761217,B.O,Delivery,Berhampur,Berhampur,Odisha,Mohana,Gajapati,ODISHA,NA,Odava S.O,Parlakhemundi H.O,NA,NA
Guma Dalaba B.O,761209,B.O,Delivery,Berhampur,Berhampur,Odisha,Jarada,Ganjam,ODISHA,NA,Khariaguda S.O,Berhampur(GM) H.O,NA,NA
Gumma S.O (Gajapati),761207,S.O,Delivery,Berhampur,Berhampur,Odisha,Serango,Gajapati,ODISHA,06815-282629,NA,Parlakhemundi H.O,NA,NA
Gundra B.O,761005,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Jaradagada S.O,Berhampur(GM) H.O,NA,NA
Gurandi S.O,761210,S.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,06815-283721,NA,Parlakhemundi H.O,NA,NA
Gurunthi B.O,761001,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Nimakhandi S.O,Berhampur(GM) H.O,NA,NA
Hadubhangi B.O,761208,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Kharada S.O,Parlakhemundi H.O,NA,NA
Haladiapadar B.O,760003,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Gosaninuagam S.O,Berhampur(GM) H.O,NA,NA
Haripur B.O,761009,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Girisola S.O,Berhampur(GM) H.O,NA,NA
Haripur Burudi B.O,761027,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Humma S.O,Chatrapur H.O,NA,NA
Hillpatna S.O,760005,S.O,Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2203411,NA,Berhampur(GM) H.O,NA,NA
Hospital Road S.O (Gajapati),761200,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,06815-222286,NA,Parlakhemundi H.O,NA,NA
Hottapur B.O,761018,B.O,Delivery,Berhampur,Berhampur,Odisha,Purushottampur,Ganjam,ODISHA,NA,Purushottampur S.O,Chatrapur H.O,NA,NA
Hugulapata B.O,761001,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Nimakhandi S.O,Berhampur(GM) H.O,NA,NA
Hukuma B.O,761209,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Khariaguda S.O,Berhampur(GM) H.O,NA,NA
Humma S.O,761027,S.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,06811-254144,NA,Chatrapur H.O,NA,NA
Humuri B.O,761026,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Ganjam S.O,Chatrapur H.O,NA,NA
Indrakhi B.O,761008,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Golanthara S.O,Berhampur(GM) H.O,NA,NA
Industrial Estates S.O,760008,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2223665,NA,Berhampur(GM) H.O,NA,NA
Jaccaro B.O,761042,B.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,NA,Bomokei S.O,Berhampur(GM) H.O,NA,NA
Jagadalapur B.O,761001,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Nimakhandi S.O,Berhampur(GM) H.O,NA,NA
Jagamohanapur B.O,761010,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Chikiti S.O,Berhampur(GM) H.O,NA,NA
Jagannathpur B.O,761003,B.O,Delivery,Berhampur,Berhampur,Odisha,Purushottampur,Ganjam,ODISHA,NA,Bhatakumarada S.O,Chatrapur H.O,NA,NA
Jagilipadar B.O,761032,B.O,Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,NA,Kodala S.O,Chatrapur H.O,NA,NA
Jakara B.O,761105,B.O,Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,NA,Polosara S.O,Chatrapur H.O,NA,NA
Jallango B.O,761213,B.O,Delivery,Berhampur,Berhampur,Odisha,Rayagada,Gajapati,ODISHA,NA,Rayagada S.O,Parlakhemundi H.O,NA,NA
Jammi B.O,761201,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Station Road Paralakhemundi S.O,Parlakhemundi H.O,NA,NA
Jamuni B.O,761018,B.O,Delivery,Berhampur,Berhampur,Odisha,Purushottampur,Ganjam,ODISHA,NA,Purushottampur S.O,Chatrapur H.O,NA,NA
Jangalpadu B.O,761210,B.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,NA,Gurandi S.O,Parlakhemundi H.O,NA,NA
Jangam Street,761200,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,06815-222392,NA,Berhampur(GM) H.O,NA,NA
Jarada Ankuli B.O,761005,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Jaradagada S.O,Berhampur(GM) H.O,NA,NA
Jaradagada S.O,761005,S.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,0680-2645521,NA,Berhampur(GM) H.O,NA,NA
Jayantipur S.O,761006,S.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,0680-2626321,NA,Berhampur(GM) H.O,NA,NA
Jayashree S.O,761025,S.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,06811-254996,NA,Chatrapur H.O,NA,NA
Jeeba B.O,761201,B.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,NA,Station Road Paralakhemundi S.O,Parlakhemundi H.O,NA,NA
Jeerango B.O,761212,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Narayanapur S.O (Gajapati),Parlakhemundi H.O,NA,NA
Jeerango Colony B.O,761017,B.O,Delivery,Berhampur,Berhampur,Odisha,Mohana,Gajapati,ODISHA,NA,Chandragiri S.O,Parlakhemundi H.O,NA,NA
Jhadankuli B.O,761001,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Nimakhandi S.O,Berhampur(GM) H.O,NA,NA
Jhalarasingi B.O,761214,B.O,Delivery,Berhampur,Berhampur,Odisha,R.udayagiri,Gajapati,ODISHA,NA,Nuagada S.O,Parlakhemundi H.O,NA,NA
Jharipadar B.O,761007,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Padmanavapur S.O,Berhampur(GM) H.O,NA,NA
Jhatipadar B.O,761009,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampurf,Ganjam,ODISHA,NA,Girisola S.O,Berhampur(GM) H.O,NA,NA
Jogipadu B.O,761201,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Station Road Paralakhemundi S.O,Parlakhemundi H.O,NA,NA
K.Sitapur B.O,761208,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Kharada S.O,Parlakhemundi H.O,NA,NA
Kaithkhandi B.O,761007,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Padmanavapur S.O,Berhampur(GM) H.O,NA,NA
Kakasingi B.O,761016,B.O,Delivery,Berhampur,Berhampur,Odisha,R.Udaygiri,Gajapati,ODISHA,NA,R.Udayagiri S.O,Parlakhemundi H.O,NA,NA
Kalabada B.O,761010,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Chikiti S.O,Berhampur(GM) H.O,NA,NA
Kalambo B.O,761105,B.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,NA,Polosara S.O,Chatrapur H.O,NA,NA
Kalidaspur B.O,761043,B.O,Delivery,Berhampur,Berhampur,Odisha,Purusottampur,Ganjam,ODISHA,NA,Pandia S.O,Chatrapur H.O,NA,NA
Kallipalli B.O,761002,B.O,Delivery,Berhampur,Berhampur,Odisha,Gopalpur,Ganjam,ODISHA,NA,Gopalpur S.O (Ganjam),Berhampur(GM) H.O,NA,NA
Kalyanapur B.O,761026,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Ganjam S.O,Chatrapur H.O,NA,NA
Kampa Khumbajhari B.O,761209,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Khariaguda S.O,Berhampur(GM) H.O,NA,NA
Kanaka B.O,761028,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Rambha S.O,Chatrapur H.O,NA,NA
Kanamana B.O,761045,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Matikhalo S.O,Chatrapur H.O,NA,NA
Kanchana B.O,761031,B.O,Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,NA,Beguniapada S.O,Chatrapur H.O,NA,NA
Kansamari B.O,761014,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Pudamari S.O,Berhampur(GM) H.O,NA,NA
Karadasingi B.O,761213,B.O,Delivery,Berhampur,Berhampur,Odisha,R.udayagiri,Gajapati,ODISHA,NA,Rayagada S.O,Parlakhemundi H.O,NA,NA
Karapada B.O,761026,B.O,Delivery,Berhampur,Berhampur,Odisha,Jarada,Ganjam,ODISHA,NA,Ganjam S.O,Chatrapur H.O,NA,NA
Karapada B.O,761042,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Bomokei S.O,Berhampur(GM) H.O,NA,NA
Karasandha B.O,761211,B.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,NA,Uppalada S.O,Parlakhemundi H.O,NA,NA
Karatoli B.O,761026,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Ganjam S.O,Chatrapur H.O,NA,NA
Karchabadi B.O,761217,B.O,Delivery,Berhampur,Berhampur,Odisha,Adva,Gajapati,ODISHA,NA,Odava S.O,Parlakhemundi H.O,NA,NA
Kashinagar S.O (Gajapati),761206,S.O,Delivery,Berhampur,Berhampur,Odisha,Kashinagara,Gajapati,ODISHA,06815-284230,NA,Parlakhemundi H.O,NA,NA
Kaviti Suvani B.O,761009,B.O,Delivery,Berhampur,Berhampur,Odisha,Golanthara,Ganjam,ODISHA,NA,Girisola S.O,Berhampur(GM) H.O,NA,NA
Kelua B.O,761004,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Patrapur S.O,Berhampur(GM) H.O,NA,NA
Keluapalli B.O,760003,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Gosaninuagam S.O,Berhampur(GM) H.O,NA,NA
Kendupata B.O,761030,B.O,Delivery,Berhampur,Berhampur,Odisha,Khallikote,Ganjam,ODISHA,NA,Khallikote S.O,Chatrapur H.O,NA,NA
Keradango B.O,761214,B.O,Delivery,Berhampur,Berhampur,Odisha,R.udayagiri,Gajapati,ODISHA,NA,Nuagada S.O,Parlakhemundi H.O,NA,NA
Kerandi B.O,761201,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Station Road Paralakhemundi S.O,Parlakhemundi H.O,NA,NA
Kesaripada B.O,761006,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Jayantipur S.O,Berhampur(GM) H.O,NA,NA
Khajapalli B.O,761029,B.O,Delivery,Berhampur,Berhampur,Odisha,Khallikote,Ganjam,ODISHA,NA,Khallikote RS S.O,Chatrapur H.O,NA,NA
Khajipalli B.O,761019,B.O,Delivery,Berhampur,Berhampur,Odisha,Purushottampur,Ganjam,ODISHA,NA,Pratapur S.O (Ganjam),Chatrapur H.O,NA,NA
Khajuripada B.O,761214,B.O,Delivery,Berhampur,Berhampur,Odisha,R.udayagiri,Gajapati,ODISHA,NA,Nuagada S.O,Parlakhemundi H.O,NA,NA
Khallikote College S.O,760001,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Brahmapur Sadar,Ganjam,ODISHA,0680-2223665,NA,Berhampur(GM) H.O,NA,NA
Khallikote RS S.O,761029,S.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,06810-256321,NA,Chatrapur H.O,NA,NA
Khallikote S.O,761030,S.O,Delivery,Berhampur,Berhampur,Odisha,Khallikote,Ganjam,ODISHA,06810-256326,NA,Chatrapur H.O,NA,NA
Khamarigam B.O,761055,B.O,Delivery,Berhampur,Berhampur,Odisha,Digapahandi,Ganjam,ODISHA,NA,Bissmagiri S.O,Berhampur(GM) H.O,NA,NA
Khambarigam B.O,761004,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Patrapur S.O,Berhampur(GM) H.O,NA,NA
Khandadeuli B.O,761028,B.O,Delivery,Berhampur,Berhampur,Odisha,Chatrapur,Ganjam,ODISHA,NA,Rambha S.O,Chatrapur H.O,NA,NA
Khandava B.O,761206,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Kashinagar S.O (Gajapati),Parlakhemundi H.O,NA,NA
Khanduru B.O,761105,B.O,Delivery,Berhampur,Berhampur,Odisha,Chhatrapur,Ganjam,ODISHA,NA,Polosara S.O,Chatrapur H.O,NA,NA
Kharada S.O,761208,S.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,06815-222266,NA,Parlakhemundi H.O,NA,NA
Khariaguda S.O,761209,S.O,Delivery,Berhampur,Berhampur,Odisha,Jarada,Ganjam,ODISHA,0680-2624432,NA,Berhampur(GM) H.O,NA,NA
Kharnipada B.O,761037,B.O,Delivery,Berhampur,Berhampur,Odisha,Jarada,Ganjam,ODISHA,NA,Surangi S.O,Berhampur(GM) H.O,NA,NA
Kinchilingi B.O,761215,B.O,Delivery,Berhampur,Berhampur,Odisha,Garabandha,Gajapati,ODISHA,NA,Garabandha S.O,Parlakhemundi H.O,NA,NA
Kinigam B.O,761018,B.O,Delivery,Berhampur,Berhampur,Odisha,Kashinagara,Gajapati,ODISHA,NA,Purushottampur S.O,Chatrapur H.O,NA,NA
Kinigam B.O,761206,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Kashinagar S.O (Gajapati),Parlakhemundi H.O,NA,NA
Kitingi B.O,761206,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Kashinagar S.O (Gajapati),Parlakhemundi H.O,NA,NA
Kodala Bus Stand B.O,761032,B.O,Non-Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,NA,Kodala S.O,Chatrapur H.O,NA,NA
Kodala S.O,761032,S.O,Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,06810-268521,NA,Chatrapur H.O,NA,NA
Kodala Tahasil Colony S.O,761032,S.O,Non-Delivery,Berhampur,Berhampur,Odisha,Kodala,Ganjam,ODISHA,06810-268521,NA,Chatrapur H.O,NA,NA
Koinpur B.O,761212,B.O,Delivery,Berhampur,Berhampur,Odisha,Paralakhemundi,Gajapati,ODISHA,NA,Narayanapur S.O (Gajapati),Parlakhemundi H.O,NA,NA
Koirasi B.O,761029,B.O,Delivery,Berhampur,Berhampur,Odisha,Khallikote,Ganjam,ODISHA,NA,Khallikote RS S.O,Chatrapur H.O,NA,NA
Kolathia B.O,761010,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Chikiti S.O,Berhampur(GM) H.O,NA,NA
Kolia B.O,761206,B.O,Delivery,Berhampur,Berhampur,Odisha,Kashinagara,Gajapati,ODISHA,NA,Kashinagar S.O (Gajapati),Parlakhemundi H.O,NA,NA
Komanda B.O,761019,B.O,Delivery,Berhampur,Berhampur,Odisha,Purusottampur,Ganjam,ODISHA,NA,Pratapur S.O (Ganjam),Chatrapur H.O,NA,NA
Konheipur B.O,761029,B.O,Delivery,Berhampur,Berhampur,Odisha,Khalikote,Ganjam,ODISHA,NA,Khallikote RS S.O,Chatrapur H.O,NA,NA
Konika B.O,761008,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Golanthara S.O,Berhampur(GM) H.O,NA,NA
Konisi B.O,761008,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Golanthara S.O,Berhampur(GM) H.O,NA,NA
Kotharasingi B.O,761008,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Golanthara S.O,Berhampur(GM) H.O,NA,NA
Kottilingi B.O,761010,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Chikiti S.O,Berhampur(GM) H.O,NA,NA
Koturu B.O,761009,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Girisola S.O,Berhampur(GM) H.O,NA,NA
Krishnachandrapur B.O,761207,B.O,Delivery,Berhampur,Berhampur,Odisha,Parlakhemundi,Gajapati,ODISHA,NA,Gumma S.O (Gajapati),Parlakhemundi H.O,NA,NA
Krupasindhupur B.O,761001,B.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,NA,Nimakhandi S.O,Berhampur(GM) H.O,NA,NA
Krushanapur B.O,761010,B.O,Delivery,Berhampur,Berhampur,Odisha,Chikiti,Ganjam,ODISHA,NA,Chikiti S.O,Berhampur(GM) H.O,NA,NA
Kujasingi B.O,761213,B.O,Delivery,Berhampur,Berhampur,Odisha,Rayagada,Gajapati,ODISHA,NA,Rayagada S.O,Parlakhemundi H.O,NA,NA
Kukudakhandi S.O,761100,S.O,Delivery,Berhampur,Berhampur,Odisha,Berhampur,Ganjam,ODISHA,0680-2485021,NA,Berhampur(GM) H.O,NA,NA
Kumaripari B.O,761035,B.O,Delivery,Berhampur,Berhampur,Odisha,Khallikote,Ganjam,ODISHA,NA,Sumandala S.O,Chatrapur H.O,NA,NA
Kumulusingi B.O,761213,B.O,Delivery,Berhampur,Berhampur,Odisha,Rayagada,Gajapati,ODISHA,NA,Rayagada S.O,Parlakhemundi H.O,NA,NA
